Date,Origin,Destiny,MinPrice,MaxPrice,MeanPrice
1/2/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/3/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/3/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/4/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/5/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/5/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/6/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/6/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/9/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/10/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/10/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/11/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/11/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/12/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
1/12/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/13/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/13/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/16/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/17/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/17/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/18/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/18/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/19/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/19/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/20/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/20/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/23/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/23/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/24/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/24/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/25/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/25/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/26/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/26/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
1/27/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
1/27/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
