"","PRICE","TAVG","TMAX","TMIN","PRCPCUM","PRCPMAX","MAXDAYSNOPRCP","WINTER","SPRING","SUMMER","PAVG1","PMAX1","PMIN1","PAVG2","PMAX2","PMIN2","PAVG3","PMAX3","PMIN3","PAVG4","PMAX4","PMIN4"
"1217",4,15.33,25.3,6.8,1.8,0,139,1,0,0,4,4,3.8,4,4,3.8,3.75,3.75,3.5,3.75,3.75,3.5
"1218",4,15.38,25.3,6.8,1.8,1.8,138,1,0,0,4,4,3.8,4,4,3.8,3.5,3.5,3.2,3.75,3.75,3.5
"1219",4,15.65,26.3,6.8,1.8,1.8,137,1,0,0,4,4,3.8,4,4,3.8,3.5,3.5,3.2,3.5,3.5,3.2
"1220",3.5,15.8,22.8,4.9,107.4,0,0,1,0,0,3.5,3.5,3.2,3.5,3.5,3.2,3.5,3.5,3.2,3.5,3.5,3.2
"1221",4,15.72,26.8,6.8,1.8,1.8,134,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,3.5,3.5,3.2
"1222",4,15.54,26.8,6.5,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1223",5,23.46,31.4,13.8,0,0,139,1,0,0,4,4,3.8,3.75,3.75,3.5,4,4,3.8,4,4,3.8
"1224",5,23.34,31.4,13.8,0,0,139,1,0,0,5,5,4.5,4,4,3.8,3.75,3.75,3.5,4,4,3.8
"1225",4,15.28,26.8,6.5,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,3.75,3.75,3.5
"1226",5,23.32,31.4,12.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,4,4,3.8,3.75,3.75,3.5
"1227",5,23.18,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4,4,3.8
"1228",5,22.89,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1229",5,22.86,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1230",4,14.51,26.8,4,1.8,1.8,139,1,0,0,4,4,3.8,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1231",4,14.49,26.8,4,1.8,1.8,138,1,0,0,4,4,3.8,5,5,4.5,5,5,4.5,5,5,4.5
"1232",5,22.8,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
