STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN,State
GHCND:MXM00076471,SOMBRERETE ZAC. MX,20160310,12.2,0.8,8.8,-1.6,Zacatecas
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20130117,0.0,0.6,11.0,-9.6,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20170129,0.0,4.1,11.2,-3.2,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20130116,0.0,0.8,11.5,-9.6,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20141106,5.3,9.6,12.2,8.0,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20170216,0.0,7.8,12.4,4.4,Chihuahua
GHCND:MXM00076471,SOMBRERETE ZAC. MX,20161113,0.0,10.8,12.4,9.6,Zacatecas
GHCND:MXM00076423,DURANGO DGO. MX,20160310,1.3,5.1,12.6,1.2,Durango
GHCND:MXM00076423,DURANGO DGO. MX,20150126,0.0,9.7,12.6,7.0,Durango
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20150314,14.2,8.8,12.8,6.0,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20130109,2.8,3.8,13.0,-1.2,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20131227,0.0,7.4,13.2,4.9,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20131108,7.4,11.4,13.2,9.5,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20131127,0.0,3.7,13.4,-3.8,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20141224,0.0,4.1,13.5,-2.9,Chihuahua
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20110113,0.0,11.0,13.5,8.0,San Luis Potosi
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20150124,0.0,6.1,13.6,-1.2,Chihuahua
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20111217,0.0,8.2,13.8,0.3,Chihuahua
GHCND:MXM00076040,EJIDO NUEVO LEON BC. MX,20110101,0.0,7.1,13.9,0.1,Baja California
GHCND:MXM00076040,EJIDO NUEVO LEON BC. MX,20130114,0.0,8.4,13.9,0.2,Baja California
GHCND:MXM00076571,JESUS TERAN INTERNATIONAL MX,20131231,3.8,10.6,14.0,9.0,Aguascalientes
