Date,Origin,Destiny,MinPrice,MaxPrice,MeanPrice
2/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.50,5.50,5.00
3/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.50,5.50,5.00
4/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
4/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.50,5.50,5.00
7/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
7/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.50,5.50,5.00
8/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
8/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
9/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
9/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
10/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
10/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
11/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
11/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
14/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
14/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.00,5.00,4.50
15/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
15/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
16/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
16/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
17/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
17/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
18/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
18/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
21/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
21/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
22/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
22/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
23/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
24/1/08,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.00,4.00,3.50
24/1/08,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.50,4.50,4.00
