"","PRICE","TAVG","TMAX","TMIN","PRCPCUM","PRCPMAX","MAXDAYSNOPRCP","MAXDAYSHUMID10","WINTER","SPRING","SUMMER","PAVG1Y","PMAX1Y","PMIN1Y","PAVG2Y","PMAX2Y","PMIN2Y","PAVG1M","PMAX1M","PMIN1M","PCH1M1W","PCH1M1M","DATE","ORIGIN"
"1241",4,15.35,25.3,6.8,0,0,139,0,1,0,0,10,10,8,4,6,4,3.5,3.5,3.2,-0.5,-0.25,2011-01-31,"Guanajuato"
"1242",4,15.33,25.3,6.8,1.8,0,138,0,1,0,0,10,10,8,4,6,4,3.5,3.5,3.2,-0.25,-0.25,2011-02-01,"Guanajuato"
"1243",5,23.5,31.4,13.8,0,0,139,0,1,0,0,10,10,8,4,6,4,3.5,3.5,3.2,-0.25,-0.25,2011-02-01,"Morelos"
"1244",4,15.33,25.3,6.8,1.8,0,137,0,1,0,0,10,10,8,4,6,4,4,4,3.8,0,0,2011-02-02,"Guanajuato"
"1245",5,23.45,31.4,13.8,0,0,139,0,1,0,0,10,10,8,4,6,4,4,4,3.8,0.25,0.25,2011-02-02,"Morelos"
"1246",4,15.38,25.3,6.8,1.8,1.8,139,0,1,0,0,10,10,8,4,6,4,4,4,3.8,0,0.5,2011-02-03,"Guanajuato"
"1247",5,23.52,31.4,13.8,0,0,139,0,1,0,0,10,10,8,4,6,4,4,4,3.8,0.25,0.5,2011-02-03,"Morelos"
"1248",4,15.65,26.3,6.8,1.8,1.8,138,0,1,0,0,14,14.5,12,4,6,4,4,4,3.8,0,0,2011-02-04,"Guanajuato"
"1249",5,23.33,31.4,13.8,0,0,139,0,1,0,0,14,14.5,12,4,6,4,3.75,3.75,3.5,0,0,2011-02-04,"Morelos"
"1250",4,15.54,26.8,6.5,1.8,1.8,138,0,1,0,0,14.5,14.5,12,3,3.5,3,4,4,3.8,1,0,2011-02-08,"Guanajuato"
"1251",5,23.46,31.4,13.8,0,0,139,0,1,0,0,14.5,14.5,12,3,3.5,3,5,5,4.5,1,0.75,2011-02-08,"Morelos"
"1252",4,15.48,26.8,6.5,1.8,1.8,137,0,1,0,0,14.5,14.5,12,3,3.5,3,5,5,4.5,1,1.25,2011-02-09,"Guanajuato"
"1253",5,23.34,31.4,13.8,0,0,139,0,1,0,0,14.5,14.5,12,3,3.5,3,5,5,4.5,1,1.25,2011-02-09,"Morelos"
"1254",4,15.28,26.8,6.5,1.8,1.8,136,0,1,0,0,17,17,15,3,3.5,3,4,4,3.8,0,0,2011-02-10,"Guanajuato"
"1255",5,23.32,31.4,12.7,0,0,139,0,1,0,0,17,17,15,3,3.5,3,5,5,4.5,0.5,0.75,2011-02-10,"Morelos"
"1256",4,14.98,26.8,5.9,1.8,1.8,135,0,1,0,0,17,17,15,3,3.5,3,5,5,4.5,1.25,1.5,2011-02-11,"Guanajuato"
"1257",5,23.18,31.4,11.7,0,0,139,0,1,0,0,17,17,15,3,3.5,3,5,5,4.5,1.25,1.5,2011-02-11,"Morelos"
"1258",4,14.62,26.8,4,1.8,1.8,132,0,1,0,0,17,17,15,3,3.5,3,5,5,4.5,1,1.25,2011-02-14,"Guanajuato"
"1259",5,22.89,31.4,11.7,0,0,139,0,1,0,0,17,17,15,3,3.5,3,5,5,4.5,1,1.25,2011-02-14,"Morelos"
"1260",4,14.58,26.8,4,1.8,1.8,131,0,1,0,0,17,17,15,3,3.5,2.5,5,5,4.5,0.5,1.5,2011-02-15,"Guanajuato"
"1261",5,22.86,31.4,11.7,0,0,139,0,1,0,0,17,17,15,3,3.5,2.5,5,5,4.5,0,1.5,2011-02-15,"Morelos"
"1262",4,14.51,26.8,4,1.8,1.8,130,0,1,0,0,16.5,16.5,14,3,3.5,2.5,4,4,3.8,-1,0,2011-02-16,"Guanajuato"
"1263",5,22.75,31.4,11.7,0,0,139,0,1,0,0,16.5,16.5,14,3,3.5,2.5,4,4,3.8,-1,0.25,2011-02-16,"Morelos"
"1264",4,14.49,26.8,4,1.8,1.8,129,0,1,0,0,14.5,15,12.5,3,3.5,2.5,4,4,3.8,0,0,2011-02-17,"Guanajuato"
"1265",5,22.78,31.4,11.7,0,0,139,0,1,0,0,14.5,15,12.5,3,3.5,2.5,4,4,3.8,-0.5,0.25,2011-02-17,"Morelos"
"1266",4,14.5,26.8,4,1.8,1.8,128,0,1,0,0,14.5,15,12.5,3,3.5,2.5,5,5,4.5,0,1.25,2011-02-18,"Guanajuato"
"1267",5,22.8,31.4,11.7,0,0,139,0,1,0,0,14.5,15,12.5,3,3.5,2.5,5,5,4.5,0,1.25,2011-02-18,"Morelos"
"1268",4,14.52,26.8,4,1.8,1.8,125,0,1,0,0,14.5,15,12.5,3,3.5,2.5,4,4,3.8,-1,0,2011-02-21,"Guanajuato"
"1269",5,22.94,31.4,11.7,0,0,139,0,1,0,0,14.5,15,12.5,3,3.5,2.5,4,4,3.8,-1,0,2011-02-21,"Morelos"
"1270",4,14.49,26.8,4,1.8,1.8,124,0,1,0,0,15,15,12.5,3,3.5,2.5,4,4,3.8,-0.5,0,2011-02-22,"Guanajuato"
"1271",5,22.94,31.4,11.7,0,0,139,0,1,0,0,15,15,12.5,3,3.5,2.5,5,5,4.5,0,0.75,2011-02-22,"Morelos"
